time,population_u,population_v,population_w
0,0.0,51119.92978165975,91622.55114501373
0.5,0.0,48181.11000058456,91090.67932262317
1.0,0.0,45408.423712400516,89275.42866886535
1.5,0.0,43020.70307808045,86252.35774317788
2.0,0.0,41198.06812349955,82254.9132635738
2.5,0.0,40068.26827354383,77635.10766667685
3.0,0.0,39706.6674922955,72795.34550271025
3.5,0.0,40145.84713724431,68117.93856236801
4.0,0.0,41387.366234497116,63916.34894900031
4.5,0.0,43409.368031862796,60417.16500114169
5.0,0.0,46167.22893464209,57767.15335168208
5.5,0.0,49587.63194863903,56053.51676245788
6.0,0.0,53558.39458576435,55326.7770731363
6.5,0.0,57917.45589737302,55619.833588041336
7.0,0.0,62445.04530368548,56960.33988146984
7.5,0.0,66863.1290130933,59375.51051641614
8.0,0.0,70845.32266347694,62889.03527623015
8.5,0.0,74038.3208705555,67509.51967572536
9.0,0.0,76093.01696003198,73209.32953649815
9.5,0.0,76701.21061895677,79892.41047289257
10.0,0.0,75633.59058268386,87350.2812832111
10.5,0.0,72776.80037208567,95208.1681009185
11.0,0.0,68169.97786302783,102870.1561780673
11.5,0.0,62040.47833974167,109485.83896453901
12.0,0.0,54830.557843827875,113981.92122579903
12.5,0.0,47190.85063929745,115221.47033191498
13.0,0.0,39902.66073452208,112337.41803278445
13.5,0.0,33708.766255034265,105177.06262504589
14.0,0.0,29109.400787924373,94590.66310737518
14.5,0.0,26262.307952935746,82226.43520152477
15.0,0.0,25068.791529982194,69861.6641282557
15.5,0.0,25350.717637323327,58785.04835701072
16.0,0.0,26974.916802357693,49620.99831422598
16.5,0.0,29889.579347055867,42492.71142478588
17.0,0.0,34108.804959937435,37259.54187114075
17.5,0.0,39676.24611634439,33693.38496112248
18.0,0.0,46618.67738184864,31577.80538079485
18.5,0.0,54891.79577091801,30753.548485723735
19.0,0.0,64322.32859400756,31134.650293519364
19.5,0.0,74557.87576506364,32710.741109593095
20.0,0.0,85043.84814641066,35543.46961161688
20.5,0.0,95048.10686094854,39759.803663122315
21.0,0.0,103741.05149260383,45541.54858661121
21.5,0.0,110312.57286179824,53107.73318399133
22.0,0.0,114083.12732093628,62683.62094979564
22.5,0.0,114566.87282639452,74446.23888090502
23.0,0.0,111476.8489319337,88431.17148557364
23.5,0.0,104704.51767287677,104380.18732835118
24.0,0.0,94330.34868996822,121509.83461123689
24.5,0.0,80718.10909936551,138205.16009135114
25.0,0.0,64710.33172277039,151733.21017296833
25.5,0.0,47846.41976089653,158293.81224691242
26.0,0.0,32335.005979298763,154026.4147691244
26.5,0.0,20404.3335451649,137361.84119488584
27.0,0.0,13135.991227640912,111397.4393840631
27.5,0.0,9857.794309985275,83164.66638886604
28.0,0.0,9031.762909548303,59024.888425880046
28.5,0.0,9579.250859624955,41184.18071524887
29.0,0.0,11108.414793978242,28893.472181725367
29.5,0.0,13583.469645793646,20692.826319069
30.0,0.0,17129.316987144615,15316.122914751559
30.5,0.0,21956.633621000066,11847.083310034752
31.0,0.0,28321.382318953838,9669.907418630903
31.5,0.0,36481.88735123805,8389.588080928643
32.0,0.0,46637.76326687171,7765.330393442036
32.5,0.0,58847.224667498966,7663.404391992977
33.0,0.0,72934.52978555624,8026.470849040117
33.5,0.0,88417.95004688298,8855.007801644962
34.0,0.0,104500.63688938894,10197.088189847045
