time,population_u,population_v,population_w
0,0.0,51072.74875303153,91539.97052113718
0.5,0.0,48136.6021826586,91008.1135413035
1.0,0.0,45366.521752713175,89194.0406705542
1.5,0.0,42981.13191838299,86173.29992817006
2.0,0.0,41160.373665085935,82179.17571139771
2.5,0.0,40031.86302665923,77563.38983260772
3.0,0.0,39670.8800685921,72727.98581518795
3.5,0.0,40109.96450236837,68054.91309244404
4.0,0.0,41350.66442292228,63857.324102513674
4.5,0.0,43371.13381178655,60361.57566049764
5.0,0.0,46126.77856289635,57714.280212869206
5.5,0.0,49544.333542544446,56002.54729775889
6.0,0.0,53511.69897380038,55276.84529588202
6.5,0.0,57866.9380393739,55570.04080075635
7.0,0.0,62390.45489606297,56909.761882448794
7.5,0.0,66804.44505084169,59323.19779992852
8.0,0.0,70782.80325783444,62834.013009183145
8.5,0.0,73972.53770017186,67450.79457357165
9.0,0.0,76024.86443085663,73145.91160378381
9.5,0.0,76631.88315439323,79823.35891679711
10.0,0.0,75564.52590664286,87274.78527087116
10.5,0.0,72709.58968532135,95125.67312475243
11.0,0.0,68106.24386541804,102780.54285636144
11.5,0.0,61981.72050253704,109389.64803486278
12.0,0.0,54777.966557298125,113880.58876313372
12.5,0.0,47145.10622080199,115117.48499739452
13.0,0.0,39863.76553628164,112234.2488308937
13.5,0.0,33675.99573781759,105078.69136363908
14.0,0.0,29081.45135146958,94500.71076487715
14.5,0.0,26237.607499482103,82147.23293247144
15.0,0.0,25045.797091081353,69793.83746363562
15.5,0.0,25328.050673927708,58727.80606892778
16.0,0.0,26951.349531620297,49572.75668602429
16.5,0.0,29863.962154734818,42451.63618132586
17.0,0.0,34079.99650853334,37223.86419986923
17.5,0.0,39643.07060988511,33661.52925595727
18.0,0.0,46579.918628299216,31548.40462425549
18.5,0.0,54846.23522066999,30725.404935254268
19.0,0.0,64268.83346475788,31106.674761563467
19.5,0.0,74495.53741519223,32681.88721094402
20.0,0.0,84972.1571363308,35512.670113725275
20.5,0.0,94967.13151626177,39725.912155420185
21.0,0.0,103651.570464417,45503.28916189323
21.5,0.0,110216.11391532117,53063.66266839381
22.0,0.0,113981.89346586721,62632.11217083585
22.5,0.0,114463.58157371108,74385.49985988962
23.0,0.0,111374.54026954729,88359.32488132492
23.5,0.0,104606.37712832763,104295.44686625981
24.0,0.0,94239.54955942162,121410.82737459129
24.5,0.0,80637.63093579811,138091.4437422673
25.0,0.0,64642.688255772155,151605.9949458182
25.5,0.0,47793.24800433978,158156.78089308162
26.0,0.0,32296.537057652004,153886.33597853687
26.5,0.0,20378.90096852171,137228.4012056304
27.0,0.0,13120.036784932752,111281.28254189815
27.5,0.0,9847.006650464478,83073.07568027734
28.0,0.0,9022.84367692937,58958.11200412975
28.5,0.0,9570.394359198594,41137.26040081406
29.0,0.0,11098.564621382598,28860.657763280076
29.5,0.0,13571.764120000133,20669.533455649067
30.0,0.0,17114.860484884277,15299.09967390457
30.5,0.0,21938.39604046444,11834.113488661604
31.0,0.0,28298.15111900983,9659.491325528465
31.5,0.0,36452.25712179239,8380.693616472814
32.0,0.0,46600.168082565506,7757.215758113134
32.5,0.0,58800.023438109296,7655.494887802464
33.0,0.0,72876.14984616126,8018.27225765888
33.5,0.0,88347.080980996,8846.042872319747
34.0,0.0,104416.44908812645,10186.846871251966
34.5,0.0,120058.70892223838,12131.595595881634
35.0,0.0,134192.91319311867,14812.876699537243
35.5,0.0,145888.7260635938,18405.540519256992
36.0,0.0,154523.35511517109,23127.127278254524
36.5,0.0,159827.47056136516,29235.077663721568
37.0,0.0,161813.0595675942,37015.31906123156
37.5,0.0,160633.12758309755,46752.744197324464
38.0,0.0,156448.15286396444,58667.80417260568
38.5,0.0,149359.73497207827,72795.66331907264
39.0,0.0,139442.42616292564,88782.63293134797
39.5,0.0,126880.38759460265,105612.19664893168
40.0,0.0,112158.43801981899,121440.30652833908
40.5,0.0,96108.31009076157,134007.22109384582
41.0,0.0,79654.6865393927,141666.9465233311
41.5,0.0,63591.601569584935,143817.1047714988
42.0,0.0,48591.413740407064,140483.83024362286
42.5,0.0,35258.076388615475,131964.49958271443
43.0,0.0,24132.864504704583,118766.01881189308
43.5,0.0,15647.726713882605,101720.94557579626
44.0,0.0,10033.074421204436,82162.25685481574
44.5,0.0,7200.552140396477,62029.417902007604
45.0,0.0,6673.236600269025,43690.8663504222
45.5,0.0,7731.0288623976,29182.755872669568
46.0,0.0,9844.222147862967,19081.452435726573
46.5,0.0,12907.798698892038,12523.272126134247
47.0,0.0,17046.10928746014,8375.451854797911
47.5,0.0,22449.76263217182,5783.331401729673
48.0,0.0,29307.0134007353,4182.980115919109
48.5,0.0,37754.01237400166,3219.2668747023295
49.0,0.0,47829.37284717785,2674.87132187538
49.5,0.0,59441.42723835853,2421.40034829142
50.0,0.0,72358.52977539404,2388.1172271506666
50.5,0.0,86223.90146560052,2542.7829330804634
51.0,0.0,100586.3002109349,2880.478898775421
51.5,0.0,114935.45508085744,3417.6650590400886
52.0,0.0,128736.96308523093,4189.739119255253
52.5,0.0,141468.04759129987,5251.0250799540945
53.0,0.0,152657.3917765348,6676.513091651231
53.5,0.0,161928.23713789295,8564.854167607762
54.0,0.0,169036.37127314068,11042.089018791079
54.5,0.0,173888.0623497101,14265.307091118044
55.0,0.0,176523.7851974589,18424.756221756554
55.5,0.0,177065.89677309556,23741.606156140235
56.0,0.0,175647.28749652865,30456.207913492275
56.5,0.0,172349.8288193144,38797.77441100768
57.0,0.0,167178.1206331653,48920.86943311059
57.5,0.0,160083.74440822253,60790.226712266376
58.0,0.0,151047.2013087125,74011.70236119378
58.5,0.0,140194.81609410627,87704.27173668548
59.0,0.0,127832.2630840035,100700.9553039264
59.5,0.0,114318.0058985081,112071.77851179143
60.0,0.0,100002.15205632408,121215.98600074608
60.5,0.0,85259.92402048977,127651.88345381623
61.0,0.0,70512.38896826621,130931.12221670862
61.5,0.0,56232.66719702452,130637.34684470767
62.0,0.0,42939.7006009443,126433.1517554101
62.5,0.0,31176.43062358621,118146.89458622748
63.0,0.0,21466.02770593569,105898.62707847974
63.5,0.0,14238.937355383854,90257.36477406234
64.0,0.0,9727.934887924375,72396.18263254462
64.5,0.0,7849.028294846749,54149.7314713135
65.0,0.0,8146.252027553669,37761.319676842606
65.5,0.0,9970.212337487112,25041.843941927218
66.0,0.0,12902.628230379381,16320.710746154631
66.5,0.0,16899.421180895115,10701.534687047486
67.0,0.0,22073.98311687646,7163.828845116178
67.5,0.0,28554.97301422136,4963.556202063278
68.0,0.0,36428.80205146232,3615.520052480278
68.5,0.0,45709.15710736411,2816.2732066299723
69.0,0.0,56323.244993149696,2381.4810844935305
69.5,0.0,68111.60258975383,2203.5701451822806
70.0,0.0,80835.49652351346,2224.905260044333
70.5,0.0,94186.12645802707,2421.5298038214437
71.0,0.0,107793.82478181561,2793.8510561552853
71.5,0.0,121239.5113084265,3361.8912249226146
72.0,0.0,134072.5000014298,4163.60979832217
72.5,0.0,145838.20433004183,5255.3783689315305
73.0,0.0,156116.50214691748,6714.025893254747
73.5,0.0,164566.37789816238,8640.012697188693
74.0,0.0,170965.72038721995,11161.232526255051
74.5,0.0,175230.14079082018,14436.622460996603
75.0,0.0,177397.12270638865,18658.03802855927
75.5,0.0,177575.16384417957,24047.464383871655
