time,population_u,population_v,population_w
0,0.0,51125.30221524779,91631.95321561667
0.5,0.0,48186.17807062532,91100.0799829669
1.0,0.0,45413.19503221683,89284.69551971887
1.5,0.0,43025.20891180837,86261.35955466231
2.0,0.0,41202.36012776139,82263.5372561238
2.5,0.0,40072.41330417565,77643.2741237895
3.0,0.0,39710.741971262796,72803.01579732259
3.5,0.0,40149.93224147351,68125.11532240249
4.0,0.0,41391.54439698037,63923.07007051062
4.5,0.0,43413.720473206835,60423.494758450586
5.0,0.0,46171.83352690709,57773.17359317495
5.5,0.0,49592.5606684981,56059.31996669698
6.0,0.0,53563.71000303493,55332.46181707611
6.5,0.0,57923.206460284826,55625.50218095242
7.0,0.0,62451.25957780041,56966.09754227129
7.5,0.0,66869.80946838984,59381.46535077711
8.0,0.0,70852.43999952335,62895.298281246774
8.5,0.0,74045.81008864121,67516.20396113716
9.0,0.0,76100.77631230594,73216.54785530096
9.5,0.0,76709.10418432826,79900.27000103582
10.0,0.0,75641.4547142455,87358.87443256025
10.5,0.0,72784.45391496952,95217.5581386636
11.0,0.0,68177.23603500408,102880.35687399724
11.5,0.0,62047.17034193804,109496.78897619678
12.0,0.0,54836.548015214204,113993.4573146538
12.5,0.0,47196.06133687314,115233.30943967508
13.0,0.0,39907.091460064774,112349.16543692433
13.5,0.0,33712.499271373,105188.26503283536
14.0,0.0,29112.584354828043,94600.90800580564
14.5,0.0,26265.121000791027,82235.45668169555
15.0,0.0,25071.409747167872,69869.39043263195
15.5,0.0,25353.29801514003,58791.5691721851
16.0,0.0,26977.59915711349,49626.49374644992
16.5,0.0,29892.49457515621,42497.39025327144
17.0,0.0,34112.08300185054,37263.605498994344
17.5,0.0,39680.02083572898,33697.01281858598
18.0,0.0,46623.08725887903,31581.15314303685
18.5,0.0,54896.979591484116,30756.752533309886
19.0,0.0,64328.415437300726,31137.83461871438
19.5,0.0,74564.96926660062,32714.024800112515
20.0,0.0,85052.00657287145,35546.9740975917
20.5,0.0,95057.32276724675,39763.65936109985
21.0,0.0,103751.23659519547,45545.900635490696
21.5,0.0,110323.55357597208,53112.74575945813
22.0,0.0,114094.65312997167,62689.47919571058
22.5,0.0,114578.63455992706,74453.14677021325
23.0,0.0,111488.5006201711,88439.34285059811
23.5,0.0,104715.69667692023,104389.82588673205
24.0,0.0,94340.69361943121,121521.0974183414
24.5,0.0,80727.28039347673,138218.09878522975
25.0,0.0,64718.042538761896,151747.68875232196
25.5,0.0,47852.48275736573,158309.41333982476
26.0,0.0,32339.393704487993,154042.36910733322
26.5,0.0,20407.23469617713,137377.04598786027
27.0,0.0,13137.810689341226,111410.68007138922
27.5,0.0,9859.023746115208,83175.10934242493
28.0,0.0,9032.77861898562,59032.50300323101
28.5,0.0,9580.258759706747,41189.531318387584
