time,population_u,population_v,population_w
0,5111.992978165996,51119.92978165975,91622.55114501373
0.5,6086.5125072625415,48266.15421540249,90920.59089298689
1.0,7234.860673740642,45623.273823370466,88948.36119078219
1.5,8582.942509638957,43406.161143750134,85807.05844214805
2.0,10158.57481007102,41788.72466765902,81749.90759780743
2.5,11990.964120398114,40892.72252149807,77137.20178262709
3.0,14109.964710519369,40789.69773292059,72366.83501984383
3.5,16545.108263744693,41511.18111177986,67807.10319309255
4.0,19324.422766972995,43059.7332434578,63753.35991879596
4.5,22473.08711728002,45415.12379207008,60414.6204447803
5.0,26011.983405994586,48533.4968997143,57922.97365857699
5.5,29956.191922706974,52340.36381203321,56354.01899695994
6.0,34313.41480339575,56720.0816948272,55748.558832318544
6.5,39082.223510374155,61505.52596739178,56129.91197787209
7.0,44249.940733319956,66472.22556108843,57514.57058712695
7.5,49789.94724645865,71341.0636791601,59915.739006736614
8.0,55658.304566344756,75792.25352313746,63339.90833939931
8.5,61789.82802604188,79490.53608840916,67776.6231606923
9.0,68094.10446227717,82118.16852041447,73181.49323526544
9.5,74452.35273975099,83409.86181509952,79452.70029729001
10.0,80716.38614982218,83183.8469021415,86402.14913582221
10.5,86711.17754512596,81365.74020992217,93724.49146299293
11.0,92242.59183097271,78005.02998895026,100971.02352186231
11.5,97111.65321571262,73285.18250896048,107541.10216428434
12.0,101136.05374498449,67525.91599447445,112710.05852658604
12.5,104178.05498033778,61170.87790627696,115715.20918326557
13.0,106174.91324520085,54749.83983352292,115911.22695897426
13.5,107163.48548442646,48808.6615438946,112972.0253310642
14.0,107286.9798604244,43818.133790218875,107061.83798273175
14.5,106774.19832349334,40096.932540602094,98864.2429984762
15.0,105894.04748433517,37788.809927627044,89409.3894193804
15.5,104903.97044688674,36902.33826597783,79774.43468100045
16.0,104014.47803492309,37379.54228093014,70823.71244868863
16.5,103378.43932262488,39151.204803368884,63100.18748201602
17.0,103098.11671780859,42160.26969824692,56855.55348938183
17.5,103238.21654318502,46357.11792496388,52143.392584079345
18.0,103837.11772584333,51677.16397855201,48913.545543916254
18.5,104913.45954275788,58009.73498342489,47081.52328774719
19.0,106468.19671887954,65165.868718950325,46570.45217231192
19.5,108483.35273724579,72853.56375525563,47331.76866914875
20.0,110918.96260012055,80670.30254232988,49351.493594699896
20.5,113709.64356445149,88121.17417150916,52646.783544936385
21.0,116762.05160373368,94664.30532036981,57255.0419235187
21.5,119954.20098699321,99774.63890429153,63215.936648082636
22.0,123137.24809925363,103008.04745679125,70545.30835261663
22.5,126139.91713070121,104047.43241868574,79199.15247556672
23.0,128775.40666249089,102722.8428509379,89025.85968837792
23.5,130850.56341669826,99012.41469267462,99706.49326810455
24.0,132177.51454100295,93040.25828712968,110687.68520981132
24.5,132588.79879057533,85085.79179144665,121122.19281573735
25.0,131957.94022066586,75607.17721118827,129850.4691463355
25.5,130227.31626111099,65262.7171532549,135480.42784732793
26.0,127442.06775789103,54893.37467552223,136634.835026441
26.5,123780.37990828908,45421.52060240453,132392.99350397504
27.0,119558.27752605306,37654.52586464152,122805.07381353008
27.5,115183.79138105456,32070.34979204131,109149.36851378804
28.0,111061.00244345168,28735.490229692754,93593.07499184579
28.5,107492.45908273578,27431.116667835086,78351.97292665433
29.0,104641.27570260056,27873.427735299894,64954.001737814455
29.5,102560.2011218708,29860.028175629926,54061.10622395487
30.0,101243.9048604566,33301.70004310012,45713.63518058156
30.5,100668.4563476568,38190.78852725936,39650.047881722916
31.0,100810.61638673578,44549.04193699302,35528.61657167947
31.5,101652.63665509483,52369.165869187746,33041.04324910081
32.0,103178.79314795688,61553.59823803792,31956.82248441551
32.5,105367.65809972947,71857.05438739693,32132.43190806873
33.0,108182.62050265448,82847.45969342669,33505.37527791531
33.5,111562.54560919113,93905.44717764067,36082.57822693664
34.0,115414.22284945118,104277.87157801578,39926.496951866364
34.5,119608.00394222548,113181.56299416003,45139.02223565284
35.0,123977.5749873216,119926.62285633662,51841.46818825423
35.5,128324.07901390856,124012.78561837498,60147.716021720014
36.0,132423.92265799706,125164.45190789462,70126.46171347878
