time,population_u,population_v,population_w
0,33.256744600565,552.1003579650063,1079.3959580848602
0.5,39.76462720540098,518.0015728070714,1035.2832847776363
1.0,47.515264177385305,497.43797350961864,984.718609524991
1.5,56.73258111484535,491.98208247542226,922.9479273199919
2.0,67.67700676786419,505.06255996216885,853.569735695923
2.5,80.64978005134097,540.2848492820043,782.1688262432665
3.0,95.99823424483084,601.5301645287826,714.2737120097903
3.5,114.12217823943926,693.202732369326,654.2411343301363
4.0,135.48194508885385,820.2492563278856,604.9089144319261
4.5,160.60871934337212,987.7105912169254,567.8015139163148
5.0,190.11732318335223,1199.6227688423294,543.5766977888018
5.5,224.7204667794734,1457.175058292846,532.4761071012971
6.0,265.24159988905313,1756.3006884025303,534.6735537381934
6.5,312.62159620844284,2085.440988022379,550.4928496803153
7.0,367.9136072807201,2424.9057703908,580.5075090205489
7.5,432.2611479696908,2749.351624161872,625.5328791667114
8.0,506.8564556424877,3033.4999961229364,686.5120884040302
8.5,592.8784288213982,3258.6515095360805,764.2770332621849
9.0,691.4109879998953,3416.2946579681916,859.149702942355
9.5,803.3426477326757,3507.188524837788,970.3357607022534
10.0,929.2466322974614,3537.7470523472607,1095.0704522813398
10.5,1069.2402112823947,3516.7024593960764,1227.5324029483609
11.0,1222.8250085456955,3453.5827745526362,1357.705457197004
11.5,1388.7190361782739,3358.816024785796,1470.72241331836
12.0,1564.7096010601906,3244.4532158170205,1547.7947628625197
12.5,1747.5891634877848,3124.2417207863364,1570.2666719561662
13.0,1933.2748801594162,3011.9204779980096,1527.361348011084
13.5,2117.199355260797,2917.87383467235,1424.2508586046883
14.0,2294.91631517717,2846.535312409277,1282.858579384816
14.5,2462.67906739702,2797.06702283372,1132.029963709682
15.0,2617.7769655551347,2766.4333879958963,995.1367363774301
15.5,2758.6257329996697,2751.967736233988,884.7740405672037
16.0,2884.7135885340467,2752.2817466301067,804.6591090063986
16.5,2996.4689075977954,2767.1309454398292,753.7011657853805
17.0,3095.072805893052,2796.9174457350496,729.1565403656756
17.5,3182.232769871757,2842.0699364299685,728.3826519227881
18.0,3259.936557143246,2902.3099670210127,749.6551582913822
18.5,3330.2029266039885,2975.797095848652,792.5360562665983
19.0,3394.8360118388905,3058.262298352921,858.0376113522668
19.5,3455.183072108578,3142.445148011544,948.5265646878855
20.0,3511.915446639757,3218.2625035455935,1067.2546612539413
20.5,3564.88180661766,3273.879701846298,1217.778798245007
21.0,3613.051488077814,3297.4067380550982,1403.5164055012124
21.5,3654.5272012491073,3278.623197566488,1627.201970474239
22.0,3686.616477151943,3210.0983464894794,1889.9370600259492
22.5,3705.960925575823,3087.494657056397,2189.642150908091
23.0,3708.726189387888,2909.4672069638955,2518.772838941492
23.5,3690.87717289052,2677.900296822378,2861.3013092198667
24.0,3648.6151826778682,2399.0604917214664,3189.451656274668
24.5,3579.1278693634176,2085.624622716106,3461.9169166118704
25.0,3481.825196800945,1758.3132896702605,3627.564235580176
25.5,3359.944931368387,1444.0991245975745,3640.320480995965
26.0,3221.425444967388,1168.3600220239248,3484.40217216039
26.5,3077.124091128661,946.005635497651,3187.866100753135
27.0,2937.093566381923,782.0090967771695,2802.062585138797
27.5,2809.093745879961,676.4833890353138,2377.2165226851716
28.0,2699.0670085751617,624.7574298052009,1960.9088685654888
28.5,2610.5316558493073,618.6599877997905,1592.919399129676
29.0,2544.1888033666182,651.1956071358459,1293.6482158442088
29.5,2498.996746280836,719.1438609096108,1064.2795829137533
30.0,2473.507084115782,822.6265190505269,895.6943221776066
30.5,2466.581304878586,963.6120595391625,776.1891247893385
31.0,2477.561493655982,1144.2699942580227,695.3892623796919
31.5,2506.1533767314763,1365.2409351578658,645.5463046925406
32.0,2552.1792724227175,1623.8681744536837,621.537234233889
32.5,2615.286869197999,1912.717309722007,620.3704190576942
33.0,2694.6701510115627,2218.972817995569,640.6745602569881
33.5,2788.83904117662,2525.2950622673357,682.3546741601406
34.0,2895.466140002693,2812.218445019751,746.3742342552981
34.5,3011.338352858491,3061.352147459743,834.5797840025705
35.0,3132.429201972168,3258.183773775346,949.5213909703575
35.5,3254.081083754187,3393.5706829385563,1094.240249178969
36.0,3371.258896929332,3463.6697079950322,1271.985523165385
36.5,3478.8209969976956,3468.630448580919,1485.798268978408
37.0,3571.755051587874,3410.747853638163,1737.8660120428876
37.5,3645.343101597749,3292.8636072119625,2028.5100419116798
