time,population_u,population_v,population_w
0,33.10391453062146,547.09287373744,1056.6345781502419
0.5,39.58219117978208,518.6830329486081,1010.1675895219337
1.0,47.297064898181496,501.3833411362809,961.3982147309381
1.5,56.47178490091679,498.97778799444046,903.0524913411847
2.0,67.36565383949093,515.1272054414982,837.7375028422074
2.5,80.27861655485599,553.5922828655655,770.3163404904412
3.0,95.55656859815802,618.3325672561351,705.9270482014268
3.5,113.59774557556597,713.6707870987244,648.9412989141507
4.0,134.8607670627931,844.2958056899304,602.443952765679
4.5,159.87492865361588,1014.8370453967689,568.2445234080682
5.0,189.25289721983373,1228.8085660296247,547.2255898449147
5.5,223.70479360491996,1486.8396870669792,539.7761701169961
6.0,264.0507925440617,1784.3802016871934,546.152315234195
6.5,311.2274842223404,2109.603408666774,566.7074333461389
7.0,366.2823523933752,2442.8760987643827,601.9878993448289
7.5,430.35142473380046,2759.2474898490796,652.702165739708
8.0,504.6170663703093,3034.0536486084793,719.5625968736281
8.5,590.2450580814029,3249.254739633249,802.9830257911882
9.0,688.3015449218722,3396.91992513838,902.6018598262897
9.5,799.650373960335,3478.318165103548,1016.602642504139
10.0,924.830111166587,3500.4256433110604,1140.8435972489217
10.5,1063.9102215433024,3472.732121277871,1267.9240123639627
11.0,1216.331198755267,3405.7420978183036,1386.5556535532867
11.5,1380.7467959852204,3310.816147086106,1481.9574257478967
12.0,1554.9092446959444,3200.2477705120646,1538.1819247730325
12.5,1735.6633954935603,3086.611945185475,1542.6347371924294
13.0,1919.1155890729133,2981.2099968600305,1491.2029287727146
13.5,2100.9891702027076,2892.3444215279787,1391.016282399401
14.0,2277.0995027599342,2824.312804010066,1259.0993911095363
14.5,2443.8342611453722,2777.5945764364988,1117.4141144995012
15.0,2598.512050433371,2750.28748238156,986.1090632750933
15.5,2739.5353404547495,2740.069608916002,878.2768313549507
16.0,2866.364283371812,2745.463250921573,799.1321406384766
16.5,2979.3877284005043,2765.994663746968,748.6677268751284
17.0,3079.7309520011777,2801.734905444449,724.7141626184064
17.5,3169.022703686073,2852.648992042502,724.8765066056424
18.0,3249.1478339621976,2917.861935842611,747.4872620273945
18.5,3322.0029504355844,2994.873109684942,792.0673073646424
19.0,3389.2594882446792,3078.8488161434066,859.5584569330507
19.5,3452.1330032864294,3162.2697536338487,952.298639628459
20.0,3511.1742508926104,3235.245950677405,1073.6235442493817
20.5,3566.124943156792,3286.550209385669,1227.2767971036621
21.0,3615.8608070002433,3305.055807912204,1416.8724077273434
21.5,3658.4065937486057,3281.108591169094,1645.2677251294508
22.0,3691.0076546675823,3207.441557331473,1913.5548453343556
22.5,3710.253409584888,3079.5468417934344,2219.4386159924447
23.0,3712.258927299841,2895.8207991819513,2554.8373115957875
23.5,3692.9367884659255,2658.0528705555184,2902.707004173311
24.0,3648.4448239702724,2372.767298479853,3233.6062815373175
24.5,3575.972785522006,2053.404499205153,3503.826434266618
25.0,3475.060271309635,1722.064619731437,3659.373752900065
25.5,3349.3457221735202,1407.564164826368,3652.111022002898
26.0,3207.590134245817,1136.6769726918794,3467.8926536174813
26.5,3061.789152537807,923.4795831956021,3143.3500760506854
27.0,2922.7373571336625,769.0350246410915,2743.1994549486367
27.5,2797.606985578751,669.1638537531503,2324.642138845631
28.0,2690.6350539866758,618.7415646325061,1927.0329391184355
28.5,2604.1034863217496,612.6751536959165,1575.4835976576126
29.0,2538.8084546877544,646.5590087966292,1283.9538382020755
29.5,2494.396674445744,717.7238708492131,1056.118627606722
30.0,2469.896856356622,825.9340467902908,887.0086649268376
30.5,2464.333283438715,972.7812842220875,767.2442284102877
31.0,2477.0545898574687,1160.1226026628779,687.2193005830148
31.5,2507.715898578192,1388.1844423876328,639.2559954258353
32.0,2556.0612098283827,1653.645833724272,618.0904547189286
32.5,2621.635680809297,1948.0967068203156,620.6052618910868
33.0,2703.5036259867425,2257.535670287991,645.4129736715938
33.5,2800.0165280081806,2563.5507227330986,692.5133383876865
34.0,2908.665265365019,2846.179801414815,763.0294276997432
34.5,3026.045710447832,3087.4307723298034,858.978656404325
35.0,3147.9502477689985,3273.9448013403908,983.0429524169612
35.5,3269.5682420396092,3397.877610839286,1138.304409475982
36.0,3385.7494673986357,3456.177248159116,1327.8994618420154
36.5,3491.2722481149763,3449.070747987299,1554.5202641158967
37.0,3581.067361620568,3378.513322162852,1819.659801388755
37.5,3650.3719960522294,3247.052252312227,2122.4595155129728
38.0,3694.8164334001963,3057.359660319036,2457.9845704005934
38.5,3710.477809977653,2812.605495584811,2814.7593626793832
39.0,3693.9758356336024,2517.7935972523073,3171.54973591945
39.5,3642.744622840182,2182.096924285897,3493.9272190851243
40.0,3555.6938640638077,1821.8772857296583,3732.5582877316488
40.5,3434.5070522243077,1462.9703725667518,3827.8362902390486
41.0,3285.5412800135596,1138.7626445389694,3727.966231322756
41.5,3121.171386379676,880.1098747589172,3422.01515511663
42.0,2957.902490957848,701.0172034165819,2964.525873301691
42.5,2810.4521784061612,595.5734792324064,2451.9212646726714
43.0,2687.050467285277,549.8004379468011,1966.820241516516
43.5,2590.0986794782416,551.7348336191948,1552.9044899286253
44.0,2518.956849435889,593.3841931564126,1224.4465620923872
44.5,2471.725659597599,670.400323303545,979.0194998706505
45.0,2446.2251990459,781.7895193129386,805.1725426842575
45.5,2440.6443526415455,928.9013811982192,688.6646510419937
46.0,2453.7822933267885,1113.9140283884622,616.6765311811713
46.5,2484.9564314104823,1338.1804645976488,579.4344356443975
47.0,2533.7483713429883,1600.4285457796805,570.2848398509512
47.5,2599.6909675351535,1894.9107459926797,585.1988530179381
48.0,2681.949070323756,2210.0006561467153,622.1797082272728
48.5,2779.034265613107,2528.097702764785,680.7317306579525
49.0,2888.5945086545457,2827.601133921318,761.4142973929647
49.5,3007.31824927017,3086.8165131075507,865.4619993606651
50.0,3130.9823653538665,3288.3311563746934,994.4510812095191
50.5,3254.648784643731,3421.8197861840304,1150.0055609529613
51.0,3372.977597614722,3484.1971891154717,1333.5455645576276
51.5,3480.589692700465,3477.689524502369,1546.0671878549588
52.0,3572.399093319308,3407.244925119219,1787.889668964269
52.5,3643.850455017245,3278.4126945420476,2058.2056770606955
53.0,3691.0320368932503,3096.1730457397293,2354.15755502548
53.5,3710.6796163113563,2864.803290749963,2669.123363950226
54.0,3700.137636092226,2588.747067178928,2990.034241796948
54.5,3657.3968363408053,2274.440863794988,3293.941758772622
55.0,3581.3824481623237,1932.972364089792,3544.8645888477317
55.5,3472.7175632823214,1582.9849149864542,3693.5668991992366
56.0,3335.1391633803496,1251.943494634857,3685.494852142972
56.5,3177.2730546257053,972.0455965762633,3482.985082783088
57.0,3013.1853988440544,768.3096603509183,3097.8030667812804
57.5,2859.186791842416,646.2560132712161,2603.82027756051
58.0,2727.6494742738478,593.9876719798956,2099.1575309818763
58.5,2623.8165417867954,595.7235932990699,1653.3759015212272
59.0,2547.79297321849,639.7072824949572,1295.0245053879182
59.5,2497.4811430461873,718.686553202838,1026.6326594228865
60.0,2470.1968557344317,829.0692728853228,837.9738872043931
60.5,2463.487052072649,970.001402868222,714.2202312579134
61.0,2475.48975510347,1142.1114636680052,641.1974302782756
61.5,2504.9243769844793,1346.174096838284,607.7304491282692
62.0,2550.8842159795045,1581.690208084571,605.9597120545868
62.5,2612.55749026084,1845.2939088472947,630.7906414174315
63.0,2688.9344844674706,2129.185538680315,679.1253809784821
63.5,2778.5352495616107,2420.20681122127,749.1184094042109
64.0,2879.1938086247337,2700.4189484959393,839.5223400743627
64.5,2987.9398137354474,2949.7164163575276,949.157110321879
65.0,3101.016706739862,3149.9396484861377,1076.5776819837376
65.5,3214.0581579292807,3288.7466549055953,1220.0755663387718
66.0,3322.4032468117553,3361.342288436554,1378.1312264349256
66.5,3421.4709357461534,3369.4605564585704,1550.2124162860596
67.0,3507.0734698785163,3318.6334269980775,1737.4213940737652
67.5,3575.575800489175,3215.378172050361,1942.3122715741852
68.0,3623.896471133576,3065.3891327214214,2167.5530469785867
68.5,3649.420696104644,2872.9972242719787,2413.6581955438755
69.0,3649.9142144469074,2641.696524883853,2676.2351985543405
69.5,3623.5128500949268,2375.467197199956,2943.073586579751
70.0,3568.8614876435367,2080.7283879850215,3191.3601698163206
70.5,3485.509589960019,1768.7743683292379,3385.7958961967643
71.0,3374.723687718321,1458.1316444325316,3479.880471972044
71.5,3240.8352738894846,1175.0074537473695,3425.091625563358
72.0,3092.7589962830116,948.3810663843092,3193.055347683902
72.5,2944.069910113158,798.2554970971929,2804.597900119163
73.0,2809.474777124334,725.5097478829484,2335.229049592443
73.5,2699.1657937353875,716.0877382741887,1874.6707436254808
74.0,2616.647407170353,753.6911867263947,1481.4177980539537
74.5,2560.9846047681667,826.2110662011223,1176.4158383679362
75.0,2529.4645522146166,926.0764541454444,957.934331399106
75.5,2519.048566994362,1049.447323564785,814.0861189390982
76.0,2527.0575748780743,1195.176840152203,730.5053424207787
76.5,2551.390985326591,1363.5708669217838,694.4809238423247
77.0,2590.4512808183326,1555.0895461650891,696.2722585849488
77.5,2642.9378466181843,1768.9477676331717,728.8403372755062
78.0,2707.6004154344137,2001.625033130506,786.974232873499
78.5,2782.996078289953,2245.5705768895505,866.2939510574745
79.0,2867.2885379754107,2488.710829207664,962.3630925099444
79.5,2958.1367579964326,2715.468986937912,1070.143432663252
80.0,3052.7178943956837,2909.5241336485096,1184.1435229318083
80.5,3147.8924453128557,3057.43220869716,1299.596084091155
81.0,3240.438508180336,3151.327055861214,1414.4330967121903
81.5,3327.218853628234,3189.3641266398777,1530.808359229293
82.0,3405.2093037815557,3174.133571193409,1654.781518407613
82.5,3471.4578481549293,3110.3558102364627,1794.178778214614
83.0,3523.0817644432123,3003.04695994644,1955.8411145395285
83.5,3557.343251649074,2856.5963606396153,2143.3937369380033
84.0,3571.767029679727,2674.6513419884964,2355.8305111541135
84.5,3564.242903503545,2460.62754683162,2586.3756213952925
85.0,3533.110102377276,2218.7779967846277,2820.9616803930767
85.5,3477.2998981255564,1955.8341370725857,3036.2023509124833
86.0,3396.6881631056726,1683.1201658129337,3197.815738508822
86.5,3292.8513064735976,1418.4916656479104,3262.2003424687286
87.0,3170.3204920201238,1186.2097912085912,3185.957852648977
87.5,3037.895023425363,1011.561626005211,2947.591750847591
88.0,2908.3866785394866,909.6054266366111,2573.5121920244596
88.5,2794.947739005366,877.0424324551863,2138.400383098041
89.0,2705.9537260312313,897.9526071725224,1724.328816520966
89.5,2643.545382432251,955.7732783698901,1381.5868162479362
90.0,2605.955871033454,1038.8013014878368,1126.0627599780728
90.5,2589.9647063318375,1140.3028262005796,953.6328759714805
91.0,2592.228867183517,1257.366911235476,851.9877417371173
91.5,2609.8590996182593,1389.5267904860675,807.5593907370902
92.0,2640.547921019721,1537.4135148698438,808.6314293643466
92.5,2682.460400774501,1701.5407097739383,845.8567072744862
93.0,2734.0368411433765,1881.14014545452,911.4885360081926
93.5,2793.785594972732,2073.048896338857,998.1845478826253
94.0,2860.118404557616,2270.8890664670685,1097.9070676713366
94.5,2931.2834009608737,2464.99526256758,1201.4690332539426
95.0,3005.436925999599,2643.462082604333,1299.4701293972578
95.5,3080.8120221538506,2794.1414579647085,1385.081038543844
96.0,3155.8002828920567,2906.8388907851527,1457.5103157094782
96.5,3228.768490232888,2974.9608423277173,1523.1775228156637
97.0,3297.724369508268,2996.150008338392,1593.0804330627873
97.5,3360.1462718008925,2971.7551246717835,1678.3981274217683
98.0,3413.1230254416087,2905.505662321781,1787.2273650307213
98.5,3453.6892231151496,2802.034296079876,1923.5602160939527
99.0,3479.1394167938242,2665.8102504292965,2087.566452556338
99.5,3487.1995998307266,2500.772408076317,2275.720656637978
100.0,3476.074473316407,2310.665284121192,2480.03528379571
100.5,3444.4607816583684,2099.9575477742515,2686.4123284817533
101.0,3391.6359017781156,1875.2679497651175,2872.521897801696
101.5,3317.7644851392383,1647.1907625322242,3006.277381207798
102.0,3224.6048684729567,1431.8793521894597,3047.630798370167
102.5,3116.6782147462795,1250.539794884758,2958.3365756292565
103.0,3002.394344838909,1123.9891724700958,2722.939731662824
103.5,2893.530361115394,1062.4256124264236,2371.617751047637
104.0,2801.561685424283,1059.4129774083256,1976.4290844858
104.5,2733.136625748856,1098.5979212399163,1611.565471420472
105.0,2689.2012111681183,1164.5305724108812,1320.0792462449285
105.5,2667.314833585842,1246.988500732104,1113.8589670885367
106.0,2663.8947204762444,1340.5706656603197,987.2653011989183
106.5,2675.4104751232617,1443.2216991564087,928.0474497467204
107.0,2698.8476835629554,1554.7837311575704,923.3320123873506
107.5,2731.7606393587303,1675.8499337695407,961.7601016456806
108.0,2772.1445664109933,1806.875527690244,1033.2919846964874
108.5,2818.2673927838578,1947.4057627084205,1127.9883434206395
109.0,2868.5419113430003,2095.4024576871775,1234.6574722463643
109.5,2921.506933762898,2246.801966234675,1340.2297054401024
110.0,2975.967851941739,2395.432289378042,1431.0352829985243
110.5,3031.23376655787,2533.212894952821,1496.9230035051903
111.0,3087.1591223309038,2650.6274860823914,1536.7126457021632
111.5,3143.672323897615,2738.063296091509,1559.9655363463432
112.0,3200.0160599196824,2788.1937717356172,1582.1906940000229
112.5,3254.3581082488777,2797.9256157234786,1617.7614755486852
113.0,3304.0260394816873,2768.463454589666,1676.0513526239768
113.5,3346.0519389620845,2703.766918516339,1761.5349249804985
114.0,3377.636874545484,2608.7120111253985,1875.325767211683
114.5,3396.3934900437757,2487.8995258960795,2016.1057749809515
115.0,3400.4094459637167,2345.3053200430513,2179.9063663275106
115.5,3388.2212406462513,2184.624343879914,2358.8563343411597
116.0,3358.797614984121,2010.1144929933218,2539.2771315185378
116.5,3311.630659569564,1827.8115703203882,2699.72676408847
117.0,3247.044140617092,1647.0163295857474,2810.013875225664
117.5,3166.8595742662133,1481.5308954316886,2833.5632623687097
118.0,3075.4528167868516,1348.9703932924835,2737.3037919023873
118.5,2980.670696176654,1265.627546338339,2511.4524629091484
119.0,2893.083360986842,1237.5511140723672,2188.877274171833
119.5,2822.4255793403872,1256.403427787071,1837.8931545330809
120.0,2773.7034353594286,1306.474187413026,1524.6668777273514
120.5,2746.8103256334384,1373.9671745259152,1285.602979346259
121.0,2738.764616870484,1450.173206792265,1129.242981343769
121.5,2745.729721080033,1530.721572445098,1048.9502056287138
122.0,2764.0564553516424,1614.054422363158,1032.730356729691
122.5,2790.637356665069,1700.142285407071,1068.1421819167501
123.0,2822.9065744246477,1789.6239756701957,1143.4940537675034
123.5,2858.7196061869677,1883.24845511152,1247.0138048178967
124.0,2896.2475770537985,1981.4852213331865,1365.3171007374667
124.5,2933.9779721097157,2084.2389196064655,1482.292832702314
125.0,2970.8975829517435,2190.5417906326525,1579.8650355272678
125.5,3006.838719925587,2297.8684227152285,1642.3167421590413
126.0,3042.688769950682,2400.8786321220073,1663.8222889582833
126.5,3079.9246605868884,2490.801116319393,1653.4353628400763
127.0,3119.458373192988,2557.483159705361,1630.6732772132339
127.5,3160.747192703502,2593.2573916537413,1615.1767722107893
128.0,3201.859629822203,2595.296203266237,1620.221228972895
